Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Terraria,PS4,2014.0,Action,0.0,0.05,0.01,0.01,83.0,7.9,T
Disney Infinity 2.0: Marvel Super Heroes,PSV,2015.0,Action,0.0,0.05,0.0,0.01,,,
The Book of Unwritten Tales: The Critter Chronicles,PC,2011.0,Action,0.0,0.05,0.0,0.01,,,
Adventure Time: The Secret of the Nameless Kingdom,X360,2014.0,Action,0.0,0.05,0.0,0.0,58.0,7.5,E10+
Remember Me,PC,2013.0,Action,0.0,0.05,0.0,0.0,65.0,7.4,M
The Saboteur,PC,2009.0,Action,0.0,0.05,0.0,0.01,76.0,8,M
Dungeon Keeper 2,PC,1999.0,Action,0.0,0.05,0.0,0.01,,8.8,M
Murdered: Soul Suspect,PC,2014.0,Action,0.0,0.05,0.0,0.0,59.0,7.4,M
LEGO The Hobbit,PC,2014.0,Action,0.0,0.05,0.0,0.0,68.0,,E10+
Dynasty Warriors: Gundam 2,PS3,2008.0,Action,0.09,0.06,0.32,0.03,54.0,7,T
Hitman: Blood Money,X360,2006.0,Action,0.29,0.06,0.01,0.03,82.0,8.7,M
Scooby-Doo! Classic Creep Capers,N64,2000.0,Action,0.3,0.06,0.0,0.0,,,
Saban's Power Rangers: Lightspeed Rescue,N64,2000.0,Action,0.29,0.06,0.0,0.0,,,
G-Force,PSP,2009.0,Action,0.24,0.06,0.0,0.05,,8.8,E10+
BattleTanx,N64,1998.0,Action,0.26,0.06,0.0,0.0,,,
Prince of Persia: The Sands of Time,GC,2003.0,Action,0.25,0.06,0.0,0.01,92.0,8.4,T
Dynasty Warriors 6,X360,2007.0,Action,0.15,0.06,0.06,0.02,60.0,7.4,T
Shark Tale,GC,2004.0,Action,0.23,0.06,0.0,0.01,69.0,tbd,E
Teenage Mutant Ninja Turtles,XB,2003.0,Action,0.22,0.06,0.0,0.01,56.0,8.4,E
Nicktoons: Battle for Volcano Island,GC,,Action,0.22,0.06,0.0,0.01,,7,E
The Punisher,XB,2005.0,Action,0.22,0.06,0.0,0.01,,,
The Warriors,XB,2005.0,Action,0.21,0.06,0.0,0.01,85.0,8.2,M
El Shaddai: Ascension of the Metatron,PS3,2011.0,Action,0.11,0.06,0.08,0.03,78.0,7.5,T
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,,Action,0.22,0.06,0.0,0.01,71.0,tbd,T
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004.0,Action,0.22,0.06,0.0,0.01,65.0,tbd,E
Silent Hill 2: Restless Dreams,XB,2001.0,Action,0.21,0.06,0.0,0.01,84.0,8.3,M
True Crime: New York City,XB,2005.0,Action,0.21,0.06,0.0,0.01,60.0,7.8,M
Dynasty Warriors,PS,1997.0,Action,0.09,0.06,0.11,0.02,,,
Fantastic 4,XB,2005.0,Action,0.2,0.06,0.0,0.01,62.0,6.6,T
Deadly Premonition,X360,2010.0,Action,0.18,0.06,0.0,0.02,68.0,8.2,M
One Piece: Pirate Warriors 3,PS3,2015.0,Action,0.0,0.06,0.19,0.01,,3.7,T
NHL 08,PS3,2007.0,Action,0.16,0.06,0.0,0.03,86.0,6.9,E10+
Up,PS3,2009.0,Action,0.15,0.06,0.0,0.03,65.0,6.5,E10+
Kung Fu Panda 2,X360,2011.0,Action,0.16,0.06,0.0,0.02,,,
Dynasty Warriors Next,PSV,2011.0,Action,0.05,0.06,0.11,0.02,67.0,7.5,T
Dynasty Warriors 7,X360,2011.0,Action,0.16,0.06,0.0,0.02,58.0,8,T
Asura's Wrath,X360,2012.0,Action,0.15,0.06,0.01,0.02,71.0,6.5,T
Grand Theft Auto,GBA,2004.0,Action,0.17,0.06,0.0,0.0,68.0,7.1,M
Polly Pocket: Super Splash Island,GBA,2003.0,Action,0.17,0.06,0.0,0.0,,,
Dynasty Warriors: Strikeforce,X360,2009.0,Action,0.13,0.06,0.02,0.02,59.0,5.7,T
Danny Phantom: The Ultimate Enemy,GBA,2005.0,Action,0.16,0.06,0.0,0.0,,8.8,E
G-Force,PS3,2009.0,Action,0.13,0.06,0.0,0.03,68.0,7.6,E10+
Asphalt: Injection,PSV,2011.0,Action,0.13,0.06,0.0,0.03,49.0,4.8,E10+
Disney's Magical Quest Starring Mickey and Minnie,GBA,2002.0,Action,0.16,0.06,0.0,0.0,,,
Naruto: Ninja Council,GBA,2003.0,Action,0.16,0.06,0.0,0.0,60.0,7.1,E10+
Hunted: The Demon's Forge,X360,2011.0,Action,0.13,0.06,0.0,0.02,61.0,6,M
God of War Collection,PSV,2014.0,Action,0.08,0.06,0.01,0.05,73.0,7.4,M
Dying Light,PC,2015.0,Action,0.12,0.06,0.0,0.02,75.0,7.9,M
Captain America: Super Soldier,PS3,2011.0,Action,0.1,0.06,0.0,0.03,61.0,7.3,T
Silent Hill HD Collection,X360,2012.0,Action,0.11,0.06,0.01,0.02,69.0,5.6,M
Binary Domain,X360,2012.0,Action,0.09,0.06,0.02,0.02,74.0,8,M
Saints Row IV,PC,2013.0,Action,0.11,0.06,0.0,0.02,86.0,7.4,M
Shadows of the Damned,X360,2011.0,Action,0.1,0.06,0.01,0.02,76.0,8.4,M
Saw II: Flesh & Blood,PS3,2010.0,Action,0.1,0.06,0.0,0.02,,,
Remember Me,X360,2013.0,Action,0.1,0.06,0.0,0.02,70.0,7.5,M
Transformers: Dark of the Moon,Wii,2011.0,Action,0.09,0.06,0.0,0.02,,,
Nightmare Creatures II,PS,2000.0,Action,0.09,0.06,0.0,0.01,,,
N3 II: Ninety-Nine Nights,X360,2010.0,Action,0.06,0.06,0.04,0.01,,,
Catwoman,PS2,2004.0,Action,0.08,0.06,0.0,0.02,46.0,6.9,T
Garfield: Lasagna World Tour,PS2,2007.0,Action,0.08,0.06,0.0,0.02,,tbd,E
World Destruction League: Thunder Tanks,PS,2000.0,Action,0.09,0.06,0.0,0.01,35.0,1.2,T
Reloaded,PS,1996.0,Action,0.09,0.06,0.0,0.01,,,
Batman Beyond: Return of the Joker,PS,2000.0,Action,0.09,0.06,0.0,0.01,,4.3,
Pursuit Force: Extreme Justice,PSP,2007.0,Action,0.07,0.06,0.0,0.03,73.0,7.6,T
The Cursed Crusade,PS3,2011.0,Action,0.07,0.06,0.01,0.03,45.0,5,M
Clash of the Titans,X360,2010.0,Action,0.08,0.06,0.0,0.02,42.0,4.1,T
Fatal Frame II: Crimson Butterfly,PS2,2003.0,Action,0.08,0.06,0.0,0.02,81.0,9.2,M
Watchmen: The End is Nigh - The Complete Experience,PS3,2009.0,Action,0.08,0.06,0.0,0.02,,,
Transformer: Rise of the Dark Spark,X360,2014.0,Action,0.09,0.06,0.0,0.01,,,
The Incredible Hulk: The Pantheon Saga,PS,1996.0,Action,0.09,0.06,0.0,0.01,,,
Wing Commander III: Heart of the Tiger,PS,1996.0,Action,0.09,0.06,0.0,0.01,,,
Disney's The Lion King: Simba's Mighty Adventure,PS,2000.0,Action,0.08,0.06,0.0,0.01,30.0,6.9,E
Darksiders,PC,2010.0,Action,0.07,0.06,0.0,0.02,83.0,7.8,M
T'ai Fu: Wrath of the Tiger,PS,1998.0,Action,0.08,0.06,0.0,0.01,,,
Power Rangers: Super Legends,PS2,2007.0,Action,0.07,0.06,0.0,0.02,,3,E10+
Fatal Frame,PS2,2001.0,Action,0.07,0.06,0.0,0.02,74.0,8.9,T
Final Fantasy XIV: Heavensward,PS4,2015.0,Action,0.0,0.06,0.06,0.01,86.0,7.6,T
Rango: The Video Game,X360,2011.0,Action,0.06,0.06,0.0,0.01,68.0,8,E10+
Lego Star Wars: The Force Awakens,X360,2016.0,Action,0.05,0.06,0.0,0.01,,6.9,E10+
Skylanders: SuperChargers,3DS,2015.0,Action,0.05,0.06,0.0,0.01,,tbd,E10+
LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,0.04,0.06,0.0,0.01,77.0,7.3,E10+
Lego Star Wars: The Force Awakens,PSV,2016.0,Action,0.01,0.06,0.01,0.02,,7.1,E10+
Castlevania: Lords of Shadow 2,X360,2014.0,Action,0.02,0.06,0.0,0.01,70.0,7.8,M
Invizimals: The Alliance,PSV,2013.0,Action,0.0,0.06,0.0,0.02,69.0,6.8,E10+
Tomb Raider: Underworld,PC,2008.0,Action,0.0,0.06,0.0,0.01,80.0,7.7,T
Penguins of Madagascar,3DS,2014.0,Action,0.0,0.06,0.0,0.0,51.0,tbd,E
Alan Wake,PC,2012.0,Action,0.0,0.06,0.0,0.01,83.0,8,T
Lego Batman 3: Beyond Gotham,PC,2014.0,Action,0.0,0.06,0.0,0.0,,6.8,E10+
Combat,2600,,Action,1.17,0.07,0.0,0.01,,,
Tomb Raider,PC,1996.0,Action,0.96,0.07,0.0,0.0,86.0,8.5,M
Twisted Metal (2012),PS3,2012.0,Action,0.67,0.07,0.0,0.08,,,
Dynasty Warriors 6,PS3,2007.0,Action,0.18,0.07,0.41,0.04,59.0,7.3,T
Harry Potter and the Half-Blood Prince,PS2,2009.0,Action,0.13,0.07,0.0,0.44,,8.3,E10+
Superman: The New Superman Adventures,N64,1999.0,Action,0.33,0.07,0.0,0.0,,,
BattleTanx: Global Assault,N64,1999.0,Action,0.31,0.07,0.0,0.0,,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009.0,Action,0.21,0.07,0.08,0.03,66.0,7.6,T
Ultimate Spider-Man,GC,2005.0,Action,0.29,0.07,0.0,0.01,76.0,7.2,T
Pac-Man World 2,GC,2002.0,Action,0.28,0.07,0.0,0.01,74.0,8.3,E
Tomb Raider: Legend,X360,2006.0,Action,0.27,0.07,0.01,0.03,80.0,7.3,T
Skylanders: Trap Team,XOne,2014.0,Action,0.26,0.07,0.0,0.04,,,
Teenage Mutant Ninja Turtles,GC,2003.0,Action,0.26,0.07,0.0,0.01,57.0,8,E
Hulk,XB,2003.0,Action,0.25,0.07,0.0,0.01,69.0,7.7,T
Teen Titans,GC,2006.0,Action,0.25,0.07,0.0,0.01,63.0,6.9,E10+
Binary Domain,PS3,2012.0,Action,0.09,0.07,0.14,0.03,72.0,8.2,M
The Matrix: Path of Neo,XB,2005.0,Action,0.23,0.07,0.0,0.01,73.0,7.3,T
Mortal Kombat: Shaolin Monks,XB,2005.0,Action,0.23,0.07,0.0,0.01,78.0,6.6,M
Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,0.14,0.07,0.07,0.02,53.0,5.5,T
Up,X360,2009.0,Action,0.2,0.07,0.0,0.03,61.0,6.8,E10+
Dynasty Warriors: Strikeforce,PS3,2009.0,Action,0.11,0.07,0.07,0.03,64.0,7.3,T
Dead Rising: Chop Till You Drop,Wii,2009.0,Action,0.15,0.07,0.05,0.02,61.0,6.5,M
Disney's Treasure Planet,GBA,2002.0,Action,0.2,0.07,0.0,0.01,68.0,tbd,E
Operation Armored Liberty,GBA,2003.0,Action,0.19,0.07,0.0,0.0,,tbd,T
Rugrats: I Gotta Go Party,GBA,2002.0,Action,0.19,0.07,0.0,0.0,,,
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002.0,Action,0.19,0.07,0.0,0.0,55.0,tbd,E
Frogger's Journey: The Forgotten Relic,GBA,2003.0,Action,0.18,0.07,0.0,0.0,59.0,tbd,E
Indiana Jones and the Staff of Kings,DS,2009.0,Action,0.16,0.07,0.0,0.02,50.0,6.8,T
Butt Ugly Martians: B.K.M. Battles,GBA,2002.0,Action,0.18,0.07,0.0,0.0,63.0,tbd,E
Samurai Warriors 4,PS4,2014.0,Action,0.08,0.07,0.06,0.03,76.0,8.1,T
X-Men: Destiny,PS3,2011.0,Action,0.14,0.07,0.0,0.03,50.0,4.8,T
Epic Mickey 2: The Power of Two,WiiU,2012.0,Action,0.13,0.07,0.01,0.02,57.0,5.6,E
Spider-Man: Edge of Time,PS3,2011.0,Action,0.13,0.07,0.0,0.03,58.0,7.2,T
All Star Karate,Wii,2010.0,Action,0.13,0.07,0.0,0.02,46.0,tbd,E10+
Dead Island,PC,2011.0,Action,0.12,0.07,0.0,0.03,80.0,6.8,M
G.I. Joe: The Rise of Cobra,PS3,2009.0,Action,0.11,0.07,0.0,0.03,43.0,4.8,T
The Last Airbender,Wii,2010.0,Action,0.12,0.07,0.0,0.02,53.0,6.6,T
Dragon Ball: Xenoverse 2,XOne,2016.0,Action,0.11,0.07,0.0,0.02,73.0,7.3,T
Tom and Jerry in House Trap,PS,2000.0,Action,0.11,0.07,0.0,0.01,,,
Predator: Concrete Jungle,PS2,2005.0,Action,0.1,0.07,0.0,0.03,47.0,8.8,M
The Great Escape,PS2,2003.0,Action,0.1,0.07,0.0,0.02,57.0,8,T
Dynasty Warriors 8: Empires,PS4,2014.0,Action,0.06,0.07,0.03,0.03,63.0,7.5,T
Tenchu: Fatal Shadows,PS2,2004.0,Action,0.09,0.07,0.0,0.02,58.0,8,M
Resident Evil: Revelations,WiiU,2013.0,Action,0.07,0.07,0.03,0.01,80.0,7.5,M
Rise of the Kasai,PS2,2005.0,Action,0.09,0.07,0.0,0.02,68.0,8,M
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005.0,Action,0.09,0.07,0.0,0.02,68.0,8.1,E10+
Treasures of the Deep,PS,1997.0,Action,0.1,0.07,0.0,0.01,,,
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003.0,Action,0.09,0.07,0.0,0.02,72.0,8.9,T
Casper: Friends Around the World,PS,2000.0,Action,0.1,0.07,0.0,0.01,,,
Fear Effect 2: Retro Helix,PS,2001.0,Action,0.1,0.07,0.0,0.01,84.0,8.9,M
LEGO Harry Potter: Years 5-7,PSV,2012.0,Action,0.07,0.07,0.0,0.03,64.0,6.8,E10+
Shadow Madness,PS,1999.0,Action,0.1,0.07,0.0,0.01,,,
Fireblade,PS2,2002.0,Action,0.09,0.07,0.0,0.02,,,
Ball Breakers,PS,2000.0,Action,0.1,0.07,0.0,0.01,68.0,5.3,E
Twisted Metal: Small Brawl,PS,,Action,0.1,0.07,0.0,0.01,51.0,7.6,T
The Suffering: Ties That Bind,PS2,2005.0,Action,0.09,0.07,0.0,0.02,75.0,8,M
Time Commando,PS,1996.0,Action,0.1,0.07,0.0,0.01,,,
Toukiden Kiwami,PS4,2015.0,Action,0.05,0.07,0.02,0.02,74.0,7.6,T
Ice Age: Dawn of the Dinosaurs,PS2,2009.0,Action,0.08,0.07,0.0,0.02,,tbd,E10+
World Destruction League: Thunder Tanks,PS2,2000.0,Action,0.08,0.07,0.0,0.02,65.0,5.9,T
RoadKill,PS2,2003.0,Action,0.08,0.07,0.0,0.02,71.0,7.9,M
James Cameron's Dark Angel,PS2,,Action,0.08,0.07,0.0,0.02,48.0,6.5,T
Murdered: Soul Suspect,XOne,2014.0,Action,0.08,0.07,0.0,0.01,51.0,7,M
Wolfenstein: The Old Blood,XOne,2015.0,Action,0.07,0.07,0.0,0.01,75.0,8,
Darksiders II,WiiU,2012.0,Action,0.07,0.07,0.0,0.01,85.0,8.2,M
Castlevania: Lords of Shadow - Mirror of Fate,3DS,2013.0,Action,0.04,0.07,0.03,0.01,,,
SpongeBob's Truth or Square,DS,2009.0,Action,0.07,0.07,0.0,0.01,,tbd,E
Lego Star Wars: The Force Awakens,WiiU,2016.0,Action,0.06,0.07,0.01,0.01,74.0,8,E10+
Dead Island Definitive Collection,PS4,2016.0,Action,0.03,0.07,0.01,0.02,63.0,6.4,M
Your Shape: Fitness Evolved 2013,WiiU,2012.0,Action,0.06,0.07,0.0,0.01,76.0,6.3,E10+
LEGO Marvel's Avengers,PSV,2016.0,Action,0.02,0.07,0.0,0.03,,6.6,E10+
Lego Star Wars: The Force Awakens,3DS,2016.0,Action,0.04,0.07,0.01,0.01,,7.8,E10+
The God of War Trilogy,PS3,2010.0,Action,0.0,0.07,0.03,0.02,,,
Dishonored 2,PC,2016.0,Action,0.04,0.07,0.0,0.01,86.0,6,M
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,Action,0.04,0.07,0.0,0.01,75.0,7.8,M
Pro Evolution Soccer 2012,PC,2011.0,Action,0.0,0.07,0.0,0.02,77.0,6.4,
Lara Croft and the Temple of Osiris,PS4,2014.0,Action,0.0,0.07,0.0,0.01,74.0,6.7,T
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014.0,Action,0.0,0.07,0.0,0.0,65.0,5.6,E10+
Metal Gear Solid V: The Phantom Pain,PC,2015.0,Action,0.0,0.07,0.0,0.0,91.0,7.7,M
Dead Island: Riptide,PC,,Action,0.0,0.07,0.0,0.01,61.0,6,M
Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,0.11,0.08,0.35,0.03,57.0,9.1,T
God of War: Origins Collection,PS3,2011.0,Action,0.39,0.08,0.02,0.06,84.0,8.4,M
Fire Emblem: Path of Radiance,GC,2005.0,Action,0.29,0.08,0.16,0.01,85.0,8.9,T
Way of the Samurai 3,PS3,2008.0,Action,0.18,0.08,0.22,0.04,58.0,7.9,M
Metal Gear Solid: The Twin Snakes,GC,2004.0,Action,0.3,0.08,0.07,0.01,85.0,9,M
Rampage World Tour,N64,1998.0,Action,0.36,0.08,0.0,0.01,,,
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011.0,Action,0.32,0.08,0.0,0.03,,,
Harry Potter and the Goblet of Fire,GC,2005.0,Action,0.32,0.08,0.0,0.01,69.0,6.3,E10+
300: March to Glory,PSP,2007.0,Action,0.27,0.08,0.0,0.07,55.0,7.1,M
Power Rangers: Dino Thunder,GC,2004.0,Action,0.31,0.08,0.0,0.01,49.0,tbd,E
Rampage: Total Destruction,GC,2006.0,Action,0.31,0.08,0.0,0.01,57.0,6.7,E10+
Hunter: The Reckoning,XB,2002.0,Action,0.28,0.08,0.0,0.01,79.0,8.9,M
Harry Potter and the Prisoner of Azkaban,GC,2004.0,Action,0.29,0.08,0.0,0.01,67.0,7.3,E
NBA 2K6,XB,2005.0,Action,0.27,0.08,0.0,0.01,84.0,8.7,E
Spider-Man: Shattered Dimensions,X360,2010.0,Action,0.24,0.08,0.0,0.03,76.0,7.6,T
Harry Potter and the Chamber of Secrets,XB,2002.0,Action,0.27,0.08,0.0,0.01,77.0,7.2,E
Silent Hill: Downpour,X360,2012.0,Action,0.22,0.08,0.0,0.02,68.0,7.3,M
Dead Rising 2: Off the Record,PS3,2011.0,Action,0.11,0.08,0.1,0.03,72.0,7.1,M
Fortress,GBA,2001.0,Action,0.23,0.08,0.0,0.01,64.0,tbd,E
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005.0,Action,0.22,0.08,0.0,0.01,,,
Skylanders: SuperChargers,PS4,2015.0,Action,0.17,0.08,0.0,0.05,81.0,3.3,E10+
Mega Man Battle Network 2,GBA,2002.0,Action,0.22,0.08,0.0,0.01,81.0,9,E
MySims SkyHeroes,DS,2010.0,Action,0.2,0.08,0.0,0.02,,tbd,
Ultimate Spider-Man,GBA,2005.0,Action,0.22,0.08,0.0,0.01,62.0,7.3,E10+
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003.0,Action,0.21,0.08,0.0,0.01,,,
Finding Nemo: The Continuing Adventures,GBA,2004.0,Action,0.21,0.08,0.0,0.01,,tbd,E
Dragon Ball GT: Transformation,GBA,2005.0,Action,0.2,0.08,0.0,0.01,69.0,8.2,E10+
X-Men: Reign of Apocalypse,GBA,2001.0,Action,0.2,0.08,0.0,0.01,61.0,tbd,E
Fantastic 4: Flame On,GBA,2005.0,Action,0.2,0.08,0.0,0.01,,,
Dead Rising 2: Off the Record,X360,2011.0,Action,0.17,0.08,0.0,0.02,72.0,7.5,M
Shadow Man,N64,1999.0,Action,0.18,0.08,0.0,0.01,,,
Hunted: The Demon's Forge,PS3,2011.0,Action,0.12,0.08,0.02,0.03,57.0,6.2,M
Madagascar: Escape 2 Africa,PS3,2008.0,Action,0.12,0.08,0.0,0.03,58.0,6.8,E10+
Soul Sacrifice Delta,PSV,2014.0,Action,0.0,0.08,0.12,0.02,82.0,8.4,M
Jackass the Game,PSP,2007.0,Action,0.09,0.08,0.0,0.05,58.0,7,M
Dishonored 2,XOne,2016.0,Action,0.12,0.08,0.0,0.02,88.0,6.8,M
The Amazing Spider-Man 2 (2014),XOne,2014.0,Action,0.12,0.08,0.0,0.02,,,
Jackie Chan: Stuntmaster,PS,1999.0,Action,0.12,0.08,0.0,0.01,,,
WCW Backstage Assault,PS,1999.0,Action,0.12,0.08,0.0,0.01,40.0,,T
Viewtiful Joe 2,PS2,2004.0,Action,0.1,0.08,0.0,0.03,85.0,7.7,T
Star Trek: The Game,X360,2013.0,Action,0.12,0.08,0.0,0.02,,,
Pro Evolution Soccer 2012,Wii,2011.0,Action,0.08,0.08,0.03,0.02,79.0,7,E
Deus Ex: The Conspiracy,PS2,2002.0,Action,0.1,0.08,0.0,0.03,81.0,8.9,M
Spider-Man: Web of Shadows,PS2,2008.0,Action,0.1,0.08,0.0,0.03,69.0,4.1,E10+
Project: Snowblind,PS2,2005.0,Action,0.1,0.08,0.0,0.03,78.0,8.3,T
Evil Dead: Regeneration,PS2,2005.0,Action,0.1,0.08,0.0,0.03,68.0,8.5,M
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005.0,Action,0.1,0.08,0.0,0.03,53.0,7,E10+
Forgotten Realms: Demon Stone,PS2,2004.0,Action,0.1,0.08,0.0,0.03,71.0,6.8,T
Hitman: HD Trilogy,X360,2013.0,Action,0.07,0.08,0.0,0.02,69.0,7.2,M
7 Days to Die,PS4,2016.0,Action,0.04,0.08,0.0,0.02,45.0,5.9,M
LEGO Ninjago: Shadow of Ronin,PSV,2015.0,Action,0.01,0.08,0.0,0.02,70.0,tbd,E10+
Invizimals: The Lost Tribes,PSP,2011.0,Action,0.0,0.08,0.0,0.03,,tbd,
Tom Clancy's Splinter Cell: Conviction,PC,2010.0,Action,0.0,0.08,0.0,0.02,83.0,5.2,M
The Crew: Wild Run,PS4,2015.0,Action,0.0,0.08,0.0,0.01,73.0,6.8,T
Disney Planes Fire & Rescue,3DS,2014.0,Action,0.01,0.08,0.0,0.01,,,
Ghostbusters: The Video Game (DS Version),PC,2010.0,Action,0.0,0.08,0.0,0.01,,,
Wolfenstein: The Old Blood,PC,2015.0,Action,0.0,0.08,0.0,0.0,76.0,7.6,M
Destroy All Humans! Path of the Furon,PS3,2009.0,Action,0.0,0.08,0.0,0.01,,,
Warriors Orochi,PS2,2007.0,Action,0.11,0.09,0.64,0.03,55.0,8.2,T
Blast Corps,N64,1997.0,Action,0.39,0.09,0.17,0.06,,,
Shrek the Third,X360,2007.0,Action,0.54,0.09,0.0,0.06,,,
Iron Man,PSP,2008.0,Action,0.46,0.09,0.0,0.09,44.0,6.5,T
Okami,Wii,2008.0,Action,0.43,0.09,0.04,0.05,90.0,8.9,T
Resident Evil 2,N64,1999.0,Action,0.39,0.09,0.07,0.01,,,
Spider-Man,N64,2000.0,Action,0.43,0.09,0.0,0.01,,,
Rugrats in Paris: The Movie,N64,2000.0,Action,0.4,0.09,0.0,0.01,,,
Steel Diver,3DS,2011.0,Action,0.31,0.09,0.05,0.03,58.0,6.3,E10+
Enter the Matrix,GC,2003.0,Action,0.34,0.09,0.02,0.01,63.0,8,T
Ninja Gaiden 3,PS3,2012.0,Action,0.19,0.09,0.11,0.05,58.0,5,M
Double Pack: Finding Nemo / The Incredibles,XB,2006.0,Action,0.31,0.09,0.0,0.01,,,
TRON: Evolution,PS3,2010.0,Action,0.27,0.09,0.0,0.05,58.0,6.2,T
Up,PSP,2009.0,Action,0.24,0.09,0.0,0.07,,tbd,E
Mass Effect Trilogy,X360,2012.0,Action,0.28,0.09,0.0,0.03,,7.4,M
Scooby-Doo! and the Spooky Swamp,DS,2010.0,Action,0.25,0.09,0.0,0.03,,,
Scribblenauts: Unlimited,WiiU,2012.0,Action,0.25,0.09,0.0,0.03,73.0,7.4,E10+
Tom Clancy's HAWX 2,X360,2010.0,Action,0.24,0.09,0.01,0.03,68.0,6.3,T
Disney's Tarzan: Return to the Jungle,GBA,2002.0,Action,0.25,0.09,0.0,0.01,68.0,tbd,E
Star Wars: Flight of the Falcon,GBA,2003.0,Action,0.25,0.09,0.0,0.01,39.0,5.8,E
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003.0,Action,0.25,0.09,0.0,0.01,,tbd,E
Dynasty Warriors 5 Empires,PS2,2006.0,Action,0.11,0.09,0.12,0.03,62.0,9.1,T
Driver 2 Advance,GBA,2002.0,Action,0.25,0.09,0.0,0.01,73.0,6.6,T
Shrek SuperSlam,GBA,2005.0,Action,0.24,0.09,0.0,0.01,58.0,tbd,E10+
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004.0,Action,0.23,0.09,0.0,0.01,65.0,tbd,E
Batman: Arkham Origins,WiiU,2013.0,Action,0.19,0.09,0.0,0.03,68.0,7.4,T
Sonic Boom: Rise of Lyric,WiiU,2014.0,Action,0.19,0.09,0.0,0.03,32.0,3.6,E10+
Dark Void,X360,2010.0,Action,0.19,0.09,0.0,0.03,59.0,6,T
The Suite Life of Zack & Cody: Circle of Spies,DS,2007.0,Action,0.17,0.09,0.0,0.03,,,
Sonic Boom: Shattered Crystal,3DS,2014.0,Action,0.17,0.09,0.0,0.03,47.0,6.3,E
Assassin's Creed IV: Black Flag,WiiU,2013.0,Action,0.17,0.09,0.0,0.03,86.0,7.7,M
Iron Man 2,X360,2010.0,Action,0.15,0.09,0.0,0.03,41.0,5.9,T
Rory McIlroy PGA Tour,XOne,2015.0,Action,0.16,0.09,0.0,0.02,60.0,4.3,E
Batman: Arkham Origins Blackgate,3DS,2013.0,Action,0.16,0.09,0.0,0.02,68.0,6.8,T
Shadows of the Damned,PS3,2011.0,Action,0.11,0.09,0.04,0.03,77.0,8.1,M
Beyblade: Metal Masters,DS,2010.0,Action,0.14,0.09,0.0,0.03,65.0,tbd,E
Ultimate NES Remix,3DS,2014.0,Action,0.15,0.09,0.0,0.02,69.0,7.6,E
Monsters vs. Aliens,Wii,2009.0,Action,0.14,0.09,0.0,0.02,69.0,tbd,E10+
Indiana Jones and the Staff of Kings,PSP,2009.0,Action,0.11,0.09,0.0,0.05,63.0,7.8,T
Shadow Man,PS,1998.0,Action,0.14,0.09,0.0,0.02,,,
Dynasty Warriors 6,PS2,2008.0,Action,0.12,0.09,0.0,0.03,43.0,5.4,T
Family Guy: Back to the Multiverse,X360,2012.0,Action,0.14,0.09,0.0,0.02,39.0,5,M
Spawn the Eternal,PS,1997.0,Action,0.14,0.09,0.0,0.02,,,
G-Police,PS,1997.0,Action,0.13,0.09,0.0,0.02,,,
Spider-Man: Shattered Dimensions,Wii,2010.0,Action,0.12,0.09,0.0,0.02,75.0,7.7,T
Wild 9,PS,1998.0,Action,0.13,0.09,0.0,0.02,,,
Covert Ops: Nuclear Dawn,PS,2000.0,Action,0.13,0.09,0.0,0.02,,,
The Scorpion King: Rise of the Akkadian,PS2,2002.0,Action,0.11,0.09,0.0,0.03,47.0,7.2,T
Perfect Weapon,PS,1996.0,Action,0.13,0.09,0.0,0.02,,,
Genji: Dawn of the Samurai,PS2,2005.0,Action,0.11,0.09,0.0,0.03,74.0,8.3,M
Critical Depth,PS,1997.0,Action,0.13,0.09,0.0,0.01,,,
Bratz: Girlz Really Rock,PS2,2008.0,Action,0.11,0.09,0.0,0.03,,8.4,E
Rampage 2: Universal Tour,PS,1998.0,Action,0.13,0.09,0.0,0.01,,,
Transformers: Devastation,PS4,2015.0,Action,0.1,0.09,0.0,0.04,77.0,7.5,T
Saint Seiya: Sanctuary Battle,PS3,2011.0,Action,0.0,0.09,0.11,0.02,62.0,7.3,
Rogue Ops,PS2,2003.0,Action,0.11,0.09,0.0,0.03,61.0,9.2,M
